Browser,screenH,workerid,screenW,OS
Chrome,768,157,1366,Windows
Chrome,768,158,1366,Windows
Chrome,1080,159,1920,Windows
Chrome,853,160,1517,Linux
Chrome,720,161,1280,Windows
Chrome,1003,162,1504,Windows
Chrome,768,163,1366,Windows
Chrome,768,164,1366,Windows
Chrome,768,165,1366,Windows
Chrome,1050,166,1680,Windows
Chrome,900,167,1600,Windows
Chrome,900,168,1440,Windows
Chrome,768,169,1366,Windows
Chrome,768,170,1366,Windows
Chrome,900,171,1440,Mac
Firefox,900,172,1600,Linux
Chrome,768,173,1366,Windows
Chrome,768,174,1366,Windows
Chrome,768,175,1366,Windows
Chrome,1080,176,1920,Windows
Chrome,1080,177,1920,Windows
Chrome,1080,178,1920,Windows
Chrome,768,179,1366,Windows
Chrome,768,180,1366,Windows
Chrome,1024,181,1280,Windows
Chrome,900,182,1440,Mac
Chrome,800,183,1280,Mac
Chrome,800,184,1280,Windows
Chrome,768,185,1366,Windows
Chrome,846,186,412,Linux
Chrome,768,187,1366,Windows
Chrome,1080,188,1920,Windows
Chrome,768,189,1366,Windows
Chrome,768,190,1366,Windows
Chrome,1050,191,1680,Mac
Chrome,768,192,1024,Windows
Firefox,768,193,1366,Windows
Firefox,768,194,1366,Windows
Chrome,768,195,1366,Windows
Chrome,720,196,1280,Windows
Chrome,768,197,1366,Windows
Chrome,768,198,1024,Windows
Chrome,768,199,1366,Windows
Chrome,768,200,1364,Windows
Chrome,1440,201,2560,Mac
Chrome,768,202,1366,Windows
Chrome,820,203,1024,Windows
Chrome,740,204,360,Linux
Chrome,900,205,1440,Mac
Chrome,900,206,1600,Windows
Chrome,768,207,1360,Windows
Chrome,768,208,1366,Windows
Chrome,768,209,1366,Windows
Chrome,768,210,1366,Windows
Chrome,768,211,1366,Windows
Chrome,768,212,1366,Windows
Chrome,1200,213,1920,Windows
Chrome,768,214,1366,Windows
Chrome,900,215,1440,Mac
Chrome,768,216,1366,Windows
Chrome,1080,217,1920,Windows
Firefox,800,218,1280,Windows
Chrome,768,219,1024,Windows
Chrome,615,220,1093,Windows
Chrome,768,221,1366,Windows
Chrome,720,222,1280,Windows
Chrome,1200,223,1920,Windows
Chrome,1024,224,1280,Windows
Chrome,720,225,1152,Windows
Chrome,768,226,1024,Windows
Firefox,1080,227,1920,Windows
Chrome,768,228,1366,Windows
Chrome,615,229,1093,Windows
Chrome,800,230,1280,Windows
Chrome,768,231,1366,Windows
Chrome,720,232,1280,Windows
Chrome,900,233,1440,Mac
Chrome,768,234,1366,Windows
Chrome,768,235,1366,Windows
Chrome,768,236,1366,Windows
Chrome,800,237,1280,Windows
Chrome,900,238,1440,Windows
Chrome,768,239,1366,Windows
Chrome,1050,240,1680,Windows
Chrome,720,241,1280,Windows
Chrome,768,242,1366,Windows
Chrome,768,243,1366,Windows
Chrome,800,244,1280,Windows
Chrome,768,245,1366,Windows
Chrome,768,246,1366,Windows
Chrome,768,247,1024,Windows
Chrome,768,248,1366,Windows
Chrome,869,249,412,Linux
