screenH,OS,Browser,workerid,screenW
768,Windows,Chrome,257,1366
1080,Windows,Chrome,258,1920
864,Windows,Chrome,259,1536
864,Windows,Chrome,260,1536
768,Windows,Chrome,261,1366
900,Mac,Chrome,262,1440
1050,Windows,Chrome,263,1680
900,Windows,Firefox,264,1440
768,Windows,Chrome,265,1366
768,Windows,Chrome,266,1366
1080,Windows,Firefox,267,1920
768,Windows,Chrome,268,1366
864,Windows,Chrome,269,1536
1080,Linux,Firefox,270,1920
900,Windows,Chrome,271,1440
768,Windows,Chrome,272,1366
1080,Windows,Chrome,273,1920
768,Linux,Chrome,274,1366
768,Windows,Chrome,275,1024
768,Windows,Chrome,276,1366
800,Mac,Chrome,277,1280
768,Windows,Firefox,278,1366
1024,Windows,Chrome,279,1280
768,Windows,Chrome,280,1366
1080,Windows,Chrome,281,1920
800,Mac,Safari,282,1280
900,Windows,Firefox,283,1600
768,Windows,Chrome,284,1366
900,Mac,Chrome,285,1440
768,Windows,Chrome,286,1366
900,Windows,Firefox,287,1600
1080,Windows,Chrome,288,1920
900,Mac,Chrome,289,1440
768,Windows,Chrome,290,1366
800,Mac,Chrome,291,1280
1080,Windows,Firefox,292,1920
768,Windows,Chrome,293,1364
768,Windows,Chrome,294,1366
768,Windows,Chrome,295,1366
768,Windows,Chrome,296,1366
1080,Mac,Chrome,297,1920
900,Windows,Firefox,298,1600
768,Windows,Chrome,299,1366
