"","number","trial_type","quantifier","Answer.condition","QUD","item","workerid","Answer.time_in_minutes","slide_number","context","response","language","age","gender","comments","assess"
"48","two","one_slider","every","undefined","many","butterflies",47,3.71511666666667,3,"with",0.88,"English",51,"Female","","Yes"
"49","four","one_slider","every","undefined","all","butterflies",48,2.69008333333333,3,"with",0.03,"English",58,"Female","","No"
"50","four","one_slider","every","undefined","many","frogs",49,0.567,3,"without",0.73,"english",29,"Male","yes","Yes"
"51","four","one_slider","every","undefined","none","dinosaurs",50,2.28068333333333,3,"without",0.03,"english",42,"Female","","Yes"
"52","four","one_slider","every","undefined","none","frogs",51,0.9416,3,"with",0.02,"English",23,"Male","","Yes"
"58","two","one_slider","every","undefined","none","dinosaurs",57,1.41735,3,"without",0.02,"English",43,"Female","","Yes"
"61","four","one_slider","every","undefined","many","butterflies",60,1.2584,3,"with",0.98,"English",25,"Female","","Yes"
"63","four","one_slider","every","undefined","all","butterflies",62,1.37326666666667,3,"with",0.99,"English",22,"Female","","Yes"
"65","four","one_slider","every","undefined","many","lions",64,2.79065,3,"with",0.99,"english",33,"Male","this was short and fun","Yes"
"67","two","one_slider","every","undefined","all","frogs",66,2.62248333333333,3,"without",0.87,"English",63,"Male","","Yes"
"74","four","one_slider","every","undefined","many","lions",73,2.8722,3,"without",0.98,"English",67,"Male","Super-slow load of small pictures (books, 1-4).","Yes"
"76","four","one_slider","every","undefined","all","lions",75,2.34593333333333,3,"with",0.99,"English",40,"Male","Thanks!!","Yes"
"77","two","one_slider","every","undefined","all","butterflies",76,1.62615,3,"without",0.03,"English",37,"Male","Interesting study","Yes"
"83","two","one_slider","every","undefined","none","frogs",82,1.41108333333333,3,"without",0,"English",42,"Male","No comments.","Yes"
"88","four","one_slider","every","undefined","all","butterflies",87,1.20825,3,"with",0.63,"english",52,"Female","","Yes"
"89","two","one_slider","every","undefined","many","dinosaurs",88,1.41561666666667,3,"without",0,"English",21,"Male","","Yes"
"91","four","one_slider","every","undefined","none","frogs",90,2.43696666666667,3,"with",0.97,"English",56,"Female","It was cute and interesting. Thank you.","Yes"
"92","four","one_slider","every","undefined","all","butterflies",91,1.74203333333333,3,"with",0.83,"English ",28,"Male","good survey","Yes"
"93","four","one_slider","every","undefined","many","butterflies",92,1.1945,3,"with",1,"Englist",38,"Male","none","Yes"
"95","two","one_slider","every","undefined","all","dinosaurs",94,3.6531,3,"without",0.96,"english",52,"Female","","Yes"
"96","two","one_slider","every","undefined","many","lions",95,0.712983333333333,3,"without",0.04,"English",30,"Male","","Yes"
"97","two","one_slider","every","undefined","all","frogs",96,1.10476666666667,3,"with",0.97,"english",25,"Male","","Yes"
"101","four","one_slider","every","undefined","all","dinosaurs",100,2.06431666666667,3,"with",0.68,"English",73,"Female","","Yes"
"104","four","one_slider","every","undefined","many","lions",103,1.94193333333333,3,"without",0.98,"English",41,"Male","Ty. :)","Yes"
"105","four","one_slider","every","undefined","none","frogs",104,1.44445,3,"with",0.88,"English",18,"Male","","Yes"
"110","two","one_slider","every","undefined","all","lions",109,1.9912,3,"without",0.91,"English",27,"Female","That was interesting, different, and relaxing.","Yes"
"111","four","one_slider","every","undefined","none","dinosaurs",110,1.93763333333333,3,"without",0.23,"English",35,"Female","","Yes"
"112","four","one_slider","every","undefined","many","butterflies",111,1.5709,3,"with",0.94,"English",32,"Male","","Yes"
"114","four","one_slider","every","undefined","all","butterflies",113,1.23908333333333,3,"without",0.99,"English",23,"Female","","Yes"
"115","two","one_slider","every","undefined","all","lions",114,1.7357,3,"without",0.99,"English",55,"Female","","Yes"
"119","four","one_slider","every","undefined","all","butterflies",118,3.29553333333333,3,"with",0,"English",38,"Male","It was short and easy to understand.","Yes"
"120","two","one_slider","every","undefined","many","frogs",119,1.94425,3,"without",0.31,"English",19,"Male","","Yes"
"121","two","one_slider","every","undefined","many","lions",120,2.2244,3,"without",0.99,"English",49,"Female","I could see the possible response being a matter of interpretation, but I went with what seemed to be the true meaning of the response.","No"
"122","four","one_slider","every","undefined","none","butterflies",121,0.88475,3,"without",0.96,"English",37,"Male","","Yes"
"123","four","one_slider","every","undefined","many","lions",122,0.926766666666667,3,"with",0,"English",38,"Male","Well designed.","Yes"
"131","four","one_slider","every","undefined","none","frogs",130,2.58715,3,"with",0.95,"english",60,"Female","interesting verbiage. ","Yes"
"133","two","one_slider","every","undefined","none","lions",132,1.537,3,"without",1,"English",58,"Female","None","Yes"
"134","two","one_slider","every","undefined","all","lions",133,2.91276666666667,3,"without",0,"English",28,"Male","","Yes"
"139","four","one_slider","every","undefined","none","butterflies",138,1.07308333333333,3,"with",0.03,"english",36,"Male","","Yes"
"140","two","one_slider","every","undefined","none","butterflies",139,1.97686666666667,3,"without",0.97,"english",48,"Female","","Yes"
"142","four","one_slider","every","undefined","none","butterflies",141,2.65713333333333,3,"without",0.03,"english",35,"Male","what was the study about?","Yes"
"143","four","one_slider","every","undefined","all","dinosaurs",142,2.9399,3,"with",0.76,"english",54,"Male","nice","Yes"
"146","two","one_slider","every","undefined","many","lions",145,2.06698333333333,3,"with",0.97,"English",62,"Female","","Yes"
"150","two","one_slider","every","undefined","many","butterflies",149,3.09068333333333,3,"with",0.02,"English",53,"Male","none","Yes"
"153","four","one_slider","every","undefined","all","dinosaurs",152,3.82615,3,"with",0.78,"English",58,"Female","I was reminded of double negatives in english language","Yes"
"155","two","one_slider","every","undefined","none","frogs",154,2.02138333333333,3,"with",0.97,"English",44,"Female","","Yes"
"156","four","one_slider","every","undefined","all","frogs",155,1.57568333333333,3,"without",1,"English",49,"Female","no","Yes"
"158","four","one_slider","every","undefined","all","frogs",157,1.21743333333333,3,"without",1,"English",53,"Female","","Yes"
"160","four","one_slider","every","undefined","all","dinosaurs",159,1.71495,3,"without",1,"English",31,"Male","","Yes"
"162","four","one_slider","every","undefined","all","frogs",161,2.42326666666667,3,"without",1,"English",72,"Female","I'm left wondering if I missed something.","Yes"
"164","four","one_slider","every","undefined","none","frogs",163,2.02188333333333,3,"without",0.97,"English",51,"Female","","Yes"
"167","two","one_slider","every","undefined","all","lions",166,1.05456666666667,3,"with",0.99,"English",24,"Female","","Yes"
"169","two","one_slider","every","undefined","many","frogs",168,2.03896666666667,3,"without",0.98,"English",36,"Female","","Yes"
"170","four","one_slider","every","undefined","many","frogs",169,1.40801666666667,3,"with",0.02,"english",40,"Female","","Yes"
"171","two","one_slider","every","undefined","many","butterflies",170,1.32923333333333,3,"without",0,"English",25,"Male","","Yes"
"172","four","one_slider","every","undefined","all","butterflies",171,0.756616666666667,3,"with",0.58,"English",25,"Male","good","Yes"
"173","two","one_slider","every","undefined","none","frogs",172,2.74921666666667,3,"without",0.31,"english",70,"Female","The sentence was technically grammatically correct (probably) but so poorly constructed it could be interpreted either way. ","Yes"
"175","four","one_slider","every","undefined","many","lions",174,0.8302,3,"with",0.4,"English",24,"Male","","Yes"
"177","two","one_slider","every","undefined","all","butterflies",176,1.94168333333333,3,"with",1,"English",24,"Male","","Yes"
"180","four","one_slider","every","undefined","all","dinosaurs",179,2.36641666666667,3,"without",0.99,"english",54,"Female","","Yes"
"181","two","one_slider","every","undefined","many","butterflies",180,1.69843333333333,3,"with",0,"English",24,"Female","","Yes"
"183","four","one_slider","every","undefined","many","butterflies",182,2.03355,3,"with",0.97,"English",69,"Female","Thank You","Yes"
"184","four","one_slider","every","undefined","none","frogs",183,1.24415,3,"without",0.07,"English ",26,"Male","","Yes"
"187","two","one_slider","every","undefined","none","dinosaurs",186,1.37885,3,"with",0,"English",55,"Female","","Yes"
"193","four","one_slider","every","undefined","none","butterflies",192,2.33551666666667,3,"without",0.84,"English ",41,"Male","Odd but fun survey. Thanks!","Yes"
"195","two","one_slider","every","undefined","all","lions",194,1.55561666666667,3,"without",0.98,"English",49,"Female","","Yes"
"196","four","one_slider","every","undefined","none","butterflies",195,2.3648,3,"with",0.98,"English",35,"Male","I like this style of experiment.","Yes"
"197","two","one_slider","every","undefined","none","dinosaurs",196,1.96951666666667,3,"without",0,"english",55,"Male","n/a","Yes"
"199","two","one_slider","every","undefined","all","butterflies",198,1.8905,3,"with",0.95,"english",48,"Female","","Yes"
"201","two","one_slider","every","undefined","many","frogs",200,1.01735,3,"with",0.96,"English",29,"Male","","No"
"205","two","one_slider","every","undefined","many","frogs",204,2.70305,3,"with",0.34,"English",34,"Female","","Yes"
"206","four","one_slider","every","undefined","none","lions",205,1.52648333333333,3,"without",0.01,"English",23,"Male","","Yes"
"211","two","one_slider","every","undefined","many","lions",210,1.24351666666667,3,"without",0.72,"english",26,"Female","","Yes"
"214","two","one_slider","every","undefined","many","lions",213,6.51548333333333,3,"without",0,"English",39,"Male","","Yes"
"218","two","one_slider","every","undefined","all","frogs",217,2.1322,3,"with",1,"English",45,"Male","","Yes"
"219","four","one_slider","every","undefined","all","dinosaurs",218,1.83761666666667,3,"with",1,"English",27,"Female","","Yes"
"220","four","one_slider","every","undefined","all","butterflies",219,2.85986666666667,3,"without",0.23,"English",61,"Female","thank you","Yes"
"221","four","one_slider","every","undefined","none","dinosaurs",220,1.45608333333333,3,"with",0.51,"English",31,"Female","The way the question was asked was a bit confusing, but I think that was the point!","Yes"
"222","two","one_slider","every","undefined","all","frogs",221,2.81276666666667,3,"without",1,"English",61,"Female","","Yes"
"225","four","one_slider","every","undefined","all","lions",224,1.50688333333333,3,"with",0.97,"English",44,"Male","","Yes"
"227","four","one_slider","every","undefined","all","lions",226,1.81136666666667,3,"without",0.97,"english",41,"Female","","Yes"
"228","four","one_slider","every","undefined","none","lions",227,3.39376666666667,3,"with",0.16,"English",27,"Female","","Yes"
"230","two","one_slider","every","undefined","all","frogs",229,1.66598333333333,3,"without",0.97,"english",69,"Female","fun","Yes"
"232","four","one_slider","every","undefined","none","lions",231,2.13653333333333,3,"with",0.01,"English",51,"Male","","Yes"
"236","two","one_slider","every","undefined","many","lions",235,2.01276666666667,3,"without",0.87,"English ",44,"Female","Fun hit","Yes"
"237","two","one_slider","every","undefined","all","dinosaurs",236,1.30233333333333,3,"with",0.03,"English",27,"Female","","Yes"
"241","two","one_slider","every","undefined","many","butterflies",240,0.374083333333333,3,"without",0.75,"english",26,"Male","","Yes"
"242","two","one_slider","every","undefined","many","dinosaurs",241,1.74506666666667,3,"without",0.01,"English",24,"Female","","Yes"
"244","four","one_slider","every","undefined","all","dinosaurs",243,1.55,3,"without",1,"English",47,"Female","","Yes"
"247","four","one_slider","every","undefined","all","dinosaurs",246,1.33201666666667,3,"with",1,"English",35,"Female","","Yes"
"252","two","one_slider","every","undefined","none","frogs",251,1.78588333333333,3,"without",0.01,"English",38,"Female","","Yes"
"253","two","one_slider","every","undefined","none","lions",252,1.1293,3,"without",0.09,"english",44,"Female","","Yes"
"255","two","one_slider","every","undefined","none","butterflies",254,1.16616666666667,3,"without",0,"English",30,"Female","Fun HIT, thanks! :)","Yes"
"258","two","one_slider","every","undefined","all","frogs",257,1.63953333333333,3,"with",0.98,"English",38,"Female","fun!","Yes"
"260","four","one_slider","every","undefined","many","lions",259,1.47738333333333,3,"with",0.96,"english",65,"Female","none","Yes"
"262","two","one_slider","every","undefined","many","dinosaurs",261,1.51141666666667,3,"without",0,"English",20,"Male","","Yes"
"265","two","one_slider","every","undefined","many","dinosaurs",264,1.20366666666667,3,"with",0.51,"English",50,"Female","","Yes"
"268","four","one_slider","every","undefined","all","lions",267,1.11248333333333,3,"with",1,"english",24,"Male","","Yes"
"273","two","one_slider","every","undefined","all","lions",272,1.001,3,"without",0.98,"english",69,"Female","","Yes"
"275","four","one_slider","every","undefined","many","lions",274,0.9659,3,"without",0.47,"English",23,"Female","","Yes"
"276","four","one_slider","every","undefined","all","frogs",275,2.4822,3,"without",1,"English",24,"Male","The grammar in this hit may be off. ","Yes"
"277","four","one_slider","every","undefined","all","lions",276,0.92005,3,"without",0.67,"english",43,"Male","no","Yes"
"280","two","one_slider","every","undefined","many","butterflies",279,1.31566666666667,3,"without",0.01,"English",30,"Female","","Yes"
"282","four","one_slider","every","undefined","many","butterflies",281,2.15955,3,"with",0.63,"English",37,"Female","","Yes"
"283","two","one_slider","every","undefined","none","frogs",282,2.00263333333333,3,"with",0.99,"English",63,"Male","","Yes"
"286","two","one_slider","every","undefined","none","dinosaurs",285,1.10601666666667,3,"without",0,"English",35,"Female","","Yes"
"289","four","one_slider","every","undefined","many","dinosaurs",288,1.81141666666667,3,"with",0,"english",23,"Male","the puppets made me smile :D","Yes"
"290","two","one_slider","every","undefined","none","dinosaurs",289,1.6043,3,"with",0,"english",54,"Male","none/all good","Yes"
"291","four","one_slider","every","undefined","none","butterflies",290,3.74026666666667,3,"with",0,"English",57,"Male","Really made me think","Yes"
"293","four","one_slider","every","undefined","all","frogs",292,2.04593333333333,3,"with",0.98,"English",32,"Female","","Yes"
"294","two","one_slider","every","undefined","none","lions",293,2.60446666666667,3,"without",0.49,"English",28,"Female","""Every lion didn't buy a cookie"" is really not a clear statement. It is true that not every lion bought a cookie, however this is misleading because it could also be taken to mean that none of the lions bought a cookie. The wording should be more precise in the future to eliminate these possible double meanings.","Yes"
"298","four","one_slider","every","undefined","many","butterflies",297,0.684083333333333,3,"with",0.98,"English",28,"Male","","Yes"
"299","four","one_slider","every","undefined","many","dinosaurs",298,1.27815,3,"without",1,"English",43,"Female","","Yes"
"301","four","one_slider","every","undefined","none","butterflies",300,1.3346,3,"without",0,"English",32,"Male","","Yes"
"302","four","one_slider","every","undefined","all","dinosaurs",301,2.95188333333333,3,"with",0.99,"English",47,"Male","none","Yes"
"307","two","one_slider","every","undefined","many","dinosaurs",306,1.22811666666667,3,"without",0.05,"English",29,"Male","All HITs are better with puppets.","Yes"
"311","four","one_slider","every","undefined","all","dinosaurs",310,1.38868333333333,3,"without",0.95,"English",44,"Female","","Yes"
"313","two","one_slider","every","undefined","many","lions",312,0.966916666666667,3,"with",0.59,"English",33,"Male","","Yes"
"314","four","one_slider","every","undefined","many","dinosaurs",313,1.42665,3,"without",0.7,"English",28,"Female","","Yes"
"317","two","one_slider","every","undefined","none","lions",316,0.489116666666667,3,"with",0.47,"English",36,"Female","","Yes"
"320","four","one_slider","every","undefined","none","dinosaurs",319,1.82561666666667,3,"without",0.99,"english",32,"Female","","Yes"
"323","four","one_slider","every","undefined","many","lions",322,2.67328333333333,3,"with",1,"English",37,"Female","It is interesting because the question was answered, but the answer needed wasn't given fully. Another question would still need to be asked. So, the question was answered in correct English, but it wasn't very good communications-wise.","Yes"
"325","two","one_slider","every","undefined","none","lions",324,1.03446666666667,3,"with",0,"English",32,"Female","","Yes"
"326","two","one_slider","every","undefined","all","dinosaurs",325,1.74618333333333,3,"without",0.02,"English",41,"Female","","Yes"
"327","two","one_slider","every","undefined","all","dinosaurs",326,1.54348333333333,3,"without",0.95,"English",53,"Female","none","Yes"
"332","two","one_slider","every","undefined","none","frogs",331,1.54056666666667,3,"without",0,"English",25,"Female","","Yes"
"333","two","one_slider","every","undefined","all","dinosaurs",332,1.70645,3,"without",0.98,"English",28,"Female","","Yes"
"334","four","one_slider","every","undefined","many","frogs",333,1.46435,3,"without",1,"English",21,"Male","","Yes"
"335","four","one_slider","every","undefined","none","dinosaurs",334,1.2966,3,"without",0,"English",29,"Female","","Yes"
"337","two","one_slider","every","undefined","none","butterflies",336,2.04863333333333,3,"without",0.05,"English",37,"Female","","Yes"
"338","two","one_slider","every","undefined","none","butterflies",337,2.31125,3,"with",0.5,"English",25,"Female","","Yes"
"339","two","one_slider","every","undefined","none","dinosaurs",338,1.03466666666667,3,"without",0.12,"English",30,"Male","","Yes"
"347","two","one_slider","every","undefined","all","butterflies",346,1.51816666666667,3,"without",0.17,"English",26,"Male","It was a very interesting HIT and I liked it very much. i hope there are more in the future that I can be apart of.","Yes"
"349","four","one_slider","every","undefined","all","butterflies",348,1.8964,3,"without",0.95,"English",48,"Female","This was cute.","Yes"
"350","four","one_slider","every","undefined","many","dinosaurs",349,2.45751666666667,3,"with",0.03,"English",49,"Female","There are spelling errors in the story.  It would be slightly less confusing if they were corrected. ","Yes"
"353","four","one_slider","every","undefined","many","dinosaurs",352,0.798666666666667,3,"with",0,"English",57,"Female","","Yes"
"357","two","one_slider","every","undefined","none","lions",356,1.526,3,"without",0,"english",29,"Male","","Yes"
"359","two","one_slider","every","undefined","all","lions",358,3.01333333333333,3,"without",0.98,"english",54,"Female","Thank you.","Yes"
"360","two","one_slider","every","undefined","all","lions",359,8.70058333333333,3,"with",0.99,"English",49,"Female","I now realize why it could be considered subjective, which I didn't when I answered on the previous screen. Because ""every"" could also be interpreted as ALL the lions didn't buy a cookie. But I still think my answer is correct given the context of the question Shark asked. But perhaps Elephant should just recognize the limitations of the English language and speak more clearly!","Yes"
"363","two","one_slider","every","undefined","none","butterflies",362,1.71155,3,"without",0.99,"English",41,"Male","","Yes"
"365","two","one_slider","every","undefined","many","frogs",364,0.8514,3,"without",0.52,"English",25,"Female","","Confused"
"369","two","one_slider","every","undefined","many","dinosaurs",368,2.23736666666667,3,"without",0,"English",42,"Male","Interesting turn of phrase there folks.","Yes"
"374","two","one_slider","every","undefined","all","butterflies",373,1.25123333333333,3,"with",0.59,"english",26,"Male","","Confused"
"375","four","one_slider","every","undefined","all","dinosaurs",374,1.3703,3,"without",0.99,"English",39,"Female","","Yes"
"378","four","one_slider","every","undefined","many","dinosaurs",377,1.72716666666667,3,"with",0.02,"English",32,"Female","","Yes"
"379","four","one_slider","every","undefined","none","butterflies",378,1.32845,3,"without",0.95,"English",28,"Female","I'd love to do more. Also, I'm now second guessing my choice. I went on instinct.","Yes"
"387","four","one_slider","every","undefined","many","dinosaurs",386,1.84793333333333,3,"without",0.51,"English",23,"Female","","Yes"
"388","four","one_slider","every","undefined","none","frogs",387,1.18718333333333,3,"with",0.04,"English",48,"Female","","Yes"
"390","two","one_slider","every","undefined","none","frogs",389,3.40855,3,"without",0.83,"English",76,"Female","","Yes"
"391","four","one_slider","every","undefined","all","frogs",390,3.95471666666667,3,"with",0.97,"English",62,"Female","It is interesting. Thank you for posting the HIT.","Yes"
"393","two","one_slider","every","undefined","none","butterflies",392,1.22255,3,"with",0.13,"English",25,"Female","","Yes"
"399","four","one_slider","every","undefined","all","dinosaurs",398,4.6482,3,"with",0.98,"English",42,"Female","Thank you, it was fun!","Yes"
"400","four","one_slider","every","undefined","many","dinosaurs",399,1.25758333333333,3,"with",1,"English",25,"Male","","Yes"
"401","four","one_slider","every","undefined","none","dinosaurs",400,2.06865,3,"with",0.14,"English",63,"Female","Great trick question.","Yes"
"402","four","one_slider","every","undefined","none","dinosaurs",401,0.985883333333333,3,"with",0.06,"English",21,"Female","","Yes"
"403","two","one_slider","every","undefined","none","dinosaurs",402,2.48148333333333,3,"without",0.07,"English",40,"Female","I think o go this because elephant said every dinosaur did not eat bugs, but one dinosaur did.","Yes"
"404","two","one_slider","every","undefined","all","butterflies",403,1.55216666666667,3,"without",0.75,"English",37,"Female","","Yes"
"405","four","one_slider","every","undefined","all","frogs",404,9.15221666666667,3,"with",1,"english",40,"Male","Thanks and look forward to more hits and bonuses!!!","Yes"
"407","two","one_slider","every","undefined","all","butterflies",406,7.99865,3,"with",0.19,"English",32,"Male","Nice.","Yes"
"409","two","one_slider","every","undefined","many","lions",408,1.7832,3,"with",0,"English",39,"Male","","Yes"
"413","four","one_slider","every","undefined","all","butterflies",412,2.22548333333333,3,"with",0.36,"english",35,"Male","","Yes"
"422","four","one_slider","every","undefined","none","dinosaurs",421,1.51915,3,"without",0.16,"English",51,"Male","","Yes"
"423","two","one_slider","every","undefined","all","frogs",422,1.54403333333333,3,"with",0.97,"English",53,"Female","I like it when the research questions tell you what was studied after your finish.","Yes"
"424","two","one_slider","every","undefined","many","dinosaurs",423,1.33988333333333,3,"without",0.97,"english",45,"Female","","Yes"
"425","four","one_slider","every","undefined","many","frogs",424,1.45283333333333,3,"with",1,"English",47,"Male","Believe I answered correctly.","Yes"
"432","four","one_slider","every","undefined","all","lions",431,2.66821666666667,3,"without",0.89,"English",24,"Male","","Yes"
"434","four","one_slider","every","undefined","many","butterflies",433,1.10793333333333,3,"without",0.07,"English",18,"Female","","Yes"
"436","two","one_slider","every","undefined","all","butterflies",435,1.00303333333333,3,"with",0.91,"English",37,"Female","","Yes"
"439","two","one_slider","every","undefined","all","lions",438,1.62258333333333,3,"with",0.99,"English",39,"Female","Mo","Yes"
"442","four","one_slider","every","undefined","none","dinosaurs",441,2.7181,3,"with",0.83,"English",31,"Male","","Yes"
"444","four","one_slider","every","undefined","none","lions",443,1.48355,3,"with",0.99,"English",30,"Female","Thanks for allowing my participation. ","Yes"
"445","two","one_slider","every","undefined","many","frogs",444,1.0041,3,"without",0.97,"english",32,"Female","","Yes"
"447","four","one_slider","every","undefined","many","butterflies",446,1.49036666666667,3,"with",0.51,"ENGLISH",62,"Female","","Yes"
"450","two","one_slider","every","undefined","many","frogs",449,1.62975,3,"without",0.1,"English",24,"Male","","Yes"
"451","two","one_slider","every","undefined","many","frogs",450,1.86235,3,"without",0,"English",47,"Male","","Yes"
"452","two","one_slider","every","undefined","none","dinosaurs",451,0.905266666666667,3,"without",0,"English",48,"Male","","Yes"
"457","two","one_slider","every","undefined","all","frogs",456,1.14461666666667,3,"without",1,"English",19,"Female","","Yes"
"458","two","one_slider","every","undefined","many","lions",457,1.65653333333333,3,"with",0,"English",24,"Female","","Yes"
"463","two","one_slider","every","undefined","all","butterflies",462,1.39876666666667,3,"with",1,"English",41,"Female","","Yes"
"466","four","one_slider","every","undefined","none","butterflies",465,0.85945,3,"with",1,"English",61,"Male","","Yes"
"467","four","one_slider","every","undefined","all","frogs",466,1.48486666666667,3,"without",0.97,"English",39,"Female","","Yes"
"469","four","one_slider","every","undefined","many","frogs",468,2.5607,3,"without",0,"English",65,"Male","None","Yes"
"470","four","one_slider","every","undefined","none","dinosaurs",469,2.5391,3,"with",0.07,"English",58,"Female","The ""book"" was not fun to read.","Yes"
"473","two","one_slider","every","undefined","many","dinosaurs",472,1.9505,3,"without",0.98,"English",46,"Female","","Yes"
"475","four","one_slider","every","undefined","many","frogs",474,1.4655,3,"with",0.97,"English",56,"Female","","Yes"
"477","four","one_slider","every","undefined","none","lions",476,1.64258333333333,3,"without",0.92,"english",34,"Female","","Yes"
"479","two","one_slider","every","undefined","many","dinosaurs",478,1.23778333333333,3,"with",0.02,"English",37,"Male","","Yes"
"480","two","one_slider","every","undefined","many","butterflies",479,2.01053333333333,3,"with",0.69,"English",29,"Male","","No"
"481","four","one_slider","every","undefined","none","dinosaurs",480,2.1791,3,"without",0.69,"English",47,"Male","","Yes"
"482","two","one_slider","every","undefined","none","lions",481,0.804466666666667,3,"without",0,"English",27,"Female","","Yes"
"484","two","one_slider","every","undefined","many","frogs",483,1.59768333333333,3,"without",0,"English",38,"Male","","Yes"
"485","four","one_slider","every","undefined","many","dinosaurs",484,2.88575,3,"without",0.57,"English",29,"Female","fun ","Yes"
"486","four","one_slider","every","undefined","many","dinosaurs",485,1.38141666666667,3,"without",0.11,"English",58,"Female","","Yes"
"487","two","one_slider","every","undefined","all","dinosaurs",486,1.94146666666667,3,"without",0.98,"English",62,"Female","","Yes"
"489","four","one_slider","every","undefined","all","butterflies",488,1.77625,3,"with",0,"English",30,"Male","","Yes"
"490","two","one_slider","every","undefined","all","frogs",489,2.06091666666667,3,"with",0,"Wnglish",23,"Female","","Yes"
"491","two","one_slider","every","undefined","all","dinosaurs",490,1.4097,3,"without",0.97,"English",31,"Female","","No"
"495","four","one_slider","every","undefined","many","frogs",494,2.74701666666667,3,"with",0.96,"English",52,"Male","Great experiment.","Yes"
"498","four","one_slider","every","undefined","all","butterflies",497,2.21925,3,"with",0.94,"English",38,"Female","","Yes"
"500","two","one_slider","every","undefined","many","dinosaurs",499,1.28636666666667,3,"without",1,"English",21,"Female","","Yes"
"501","two","one_slider","every","undefined","none","lions",500,2.26686666666667,3,"without",1,"English ",28,"Female","Thought it was well done","Yes"
"507","two","one_slider","every","undefined","many","lions",506,1.02435,3,"with",0.97,"English",44,"Female","","Yes"
"509","four","one_slider","every","undefined","all","dinosaurs",508,2.36401666666667,3,"with",0.97,"English",36,"Female","","Yes"
"511","four","one_slider","every","undefined","all","dinosaurs",510,1.4427,3,"without",0.03,"english",26,"Female","","Yes"
"512","four","one_slider","every","undefined","none","lions",511,1.33923333333333,3,"without",0.77,"English",33,"Female","","Yes"
"517","four","one_slider","every","undefined","none","lions",516,1.86665,3,"without",0,"english",25,"Female","","Yes"
"519","two","one_slider","every","undefined","all","butterflies",518,1.94958333333333,3,"with",0.99,"English",44,"Female","","Yes"
"520","two","one_slider","every","undefined","none","lions",519,2.7808,3,"with",0.96,"English",53,"Female","No other comments","Yes"
"526","four","one_slider","every","undefined","many","frogs",525,1.88505,3,"with",0.97,"english",58,"Female","Fun story","Yes"
"531","two","one_slider","every","undefined","none","dinosaurs",530,1.41845,3,"without",0.26,"English",45,"Male","","Yes"
"532","four","one_slider","every","undefined","many","dinosaurs",531,1.08948333333333,3,"with",0.96,"English",53,"Female","","Yes"
"533","two","one_slider","every","undefined","all","dinosaurs",532,2.72756666666667,3,"with",1,"English",52,"Female","n/a","Yes"
"536","two","one_slider","every","undefined","many","frogs",535,3.49491666666667,3,"with",0.95,"English",59,"Female","","Yes"
